stopid,name_t,name_e,lat,lon
PK01,ศูนย์ราชการนนทบุรี,Nonthaburi Civic Center,13.8597915,100.518118
PK02,แคราย,Khae Rai,13.8625,100.52077
PK03,สนามบินน้ำ,Sanambin Nam,13.8741832,100.5163222
PK04,สามัคคี,Samakkhi,13.8893974,100.510519
PK05,กรมชลประทาน,Royal Irrigation Department,13.89861,100.50712
PK06,แยกปากเกร็ด,Yaek Pak Kret,13.9064372,100.5053929
PK07,เลี่ยงเมืองปากเกร็ด,Pak Kret Bypass,13.90642,100.51582
PK08,แจ้งวัฒนะ-ปากเกร็ด 28,Chaeng Watthana - Pak Kret 28,13.9041,100.52918
PK09,ศรีรัช,Si Rat,13.900575,100.5398895
PK10,เมืองทองธานี,Muang Thong Thani,13.8974836,100.548324
PK11,แจ้งวัฒนะ 14,Chaeng Watthana 14,13.89316,100.56037
PK12,ศูนย์ราชการเฉลิมพระเกียรติ,Government Complex,13.89072,100.56732
PK13,โทรคมนาคมแห่งชาติ,National Telecom,13.88743,100.57579
PK14,หลักสี่,Lak Si,13.8841078,100.5825843
PK15,ราชภัฏพระนคร,Rajabhat Phranakhon,13.8798,100.58952
PK16,วัดพระศรีมหาธาตุ,Wat Phra Sri Mahathat,13.87448,100.59724
PK17,รามอินทรา 3,Ram Inthra 3,13.87082,100.60286
PK18,ลาดปลาเค้า,Lat Pla Khao,13.8627,100.61794
PK19,รามอินทรา ก.ม.4,Ram Inthra Kor Mor 4,13.85825,100.62618
PK20,มัยลาภ,Maiyalap,13.85504,100.63222
PK21,วัชรพล,Vacharaphol,13.84996,100.64159
PK22,รามอินทรา ก.ม.6,Ram Inthra Kor Mor 6,13.8452,100.65033
PK23,คู้บอน,Khu Bon,13.84048,100.65907
PK24,รามอินทรา ก.ม.9,Ram Inthra Kor Mor 9,13.83383,100.66748
PK25,วงแหวนรามอินทรา,Outer Ring Road - Ram Inthra,13.82464,100.67704
PK26,นพรัตน์,Nopparat,13.81657,100.68555
PK27,บางชัน,Bang Chan,13.81271,100.70341
PK28,เศรษฐบุตรบำเพ็ญ,Setthabutbamphen,13.8127,100.71321
PK29,ตลาดมีนบุรี,Min Buri Market,13.81255,100.72565
PK30,มีนบุรี,Min Buri,13.80847,100.73266
