sid,name_e,name_t
PK01,Nonthaburi Civic Center,ศูนย์ราชการนนทบุรี
PK02,Khae Rai,แคราย
PK03,Sanambin Nam,สนามบินน้ำ
PK04,Samakkhi,สามัคคี
PK05,Royal Irrigation Department,กรมชลประทาน
PK06,Yaek Pak Kret,แยกปากเกร็ด
PK07,Pak Kret Bypass,เลี่ยงเมืองปากเกร็ด
PK08,Chaeng Watthana - Pak Kret 28,แจ้งวัฒนะ-ปากเกร็ด 28
PK09,Si Rat,ศรีรัช
PK10,Muang Thong Thani,เมืองทองธานี
PK11,Chaeng Watthana 14,แจ้งวัฒนะ 14
PK12,Government Complex,ศูนย์ราชการเฉลิมพระเกียรติ
PK13,National Telecom,โทรคมนาคมแห่งชาติ
PK14,Lak Si,หลักสี่
PK15,Rajabhat Phranakhon,ราชภัฏพระนคร
PK16,Wat Phra Sri Mahathat,วัดพระศรีมหาธาตุ
PK17,Ram Inthra 3,รามอินทรา 3
PK18,Lat Pla Khao,ลาดปลาเค้า
PK19,Ram Inthra Kor Mor 4,รามอินทรา ก.ม.4
PK20,Maiyalap,มัยลาภ
PK21,Vacharaphol,วัชรพล
PK22,Ram Inthra Kor Mor 6,รามอินทรา ก.ม.6
PK23,Khu Bon,คู้บอน
PK24,Ram Inthra Kor Mor 9,รามอินทรา ก.ม.9
PK25,Outer Ring Road - Ram Inthra,วงแหวนรามอินทรา
PK26,Nopparat,นพรัตน์
PK27,Bang Chan,บางชัน
PK28,Setthabutbamphen,เศรษฐบุตรบำเพ็ญ
PK29,Min Buri Market,ตลาดมีนบุรี
PK30,Min Buri,มีนบุรี
